hdi_rank,Country,Human_Development_Index,Life_expectancy_at_birth_y,Expected_years_of_schooling_y,Mean_years__sching_y,GINI_per_capita_2011PPP_dolar,GNI_per_capita_rank.minus_HDI_rank,hdi_rank_2016,hdi_category
35,Andorra,0.858,81.7,13.5,10.2,47574,–18,35,Very high
36,Lithuania,0.858,74.8,16.1,13,28314,7,36,Very high
37,Qatar,0.856,78.3,13.4,9.8,116818,–36,36,Very high
38,Slovakia,0.855,77,15,12.5,29467,1,39,Very high
39,Brunei Darussalam,0.853,77.4,14.5,9.1,76427,–35,40,Very high
40,Saudi Arabia,0.853,74.7,16.9,9.5,49680,–26,38,Very high
41,Latvia,0.847,74.7,15.8,12.8,25002,8,43,Very high
42,Portugal,0.847,81.4,16.3,9.2,27315,2,42,Very high
43,Bahrain,0.846,77,16,9.4,41580,–19,41,Very high
44,Chile,0.843,79.7,16.4,10.3,21910,13,44,Very high
45,Hungary,0.838,76.1,15.1,11.9,25393,3,45,Very high
46,Croatia,0.831,77.8,15,11.3,22162,10,46,Very high
47,Argentina,0.825,76.7,17.4,9.9,18461,19,47,Very high
48,Oman,0.821,77.3,13.9,9.5,36290,–19,47,Very high
49,Russian Federation,0.816,71.2,15.5,12,24233,3,49,Very high
50,Montenegro,0.814,77.3,14.9,11.3,16779,19,50,Very high
51,Bulgaria,0.813,74.9,14.8,11.8,18740,13,50,Very high
52,Romania,0.811,75.6,14.3,11,22646,2,52,Very high
53,Belarus,0.808,73.1,15.5,12.3,16323,18,54,Very high
54,Bahamas,0.807,75.8,12.8,11.1,26681,–10,53,Very high
55,Uruguay,0.804,77.6,15.9,8.7,19930,5,56,Very high
56,Kuwait,0.803,74.8,13.6,7.3,70524,–51,55,Very high
57,Malaysia,0.802,75.5,13.7,10.2,26107,–11,57,Very high
58,Barbados,0.8,76.1,15.3,10.6,15843,14,57,Very high
58,Kazakhstan,0.8,70,15.1,11.8,22626,–3,60,Very high
60,"Iran, Islamic Republic of",0.798,76.2,14.9,9.8,19130,3,61,High
60,Palau,0.798,73.4,15.6,12.3,12831,28,59,High
62,Seychelles,0.797,73.7,14.8,9.5,26077,–15,62,High
63,Costa Rica,0.794,80,15.4,8.8,14636,15,63,High
64,Turkey,0.791,76,15.2,8,24804,–14,65,High
65,Mauritius,0.79,74.9,15.1,9.3,20189,–6,64,High
66,Panama,0.789,78.2,12.7,10.2,19178,–4,66,High
67,Serbia,0.787,75.3,14.6,11.1,13019,18,66,High
68,Albania,0.785,78.5,14.8,10,11886,23,69,High
69,Trinidad and Tobago,0.784,70.8,12.9,10.9,28622,–28,66,High
70,Antigua and Barbuda,0.78,76.5,13.2,9.2,20764,–12,70,High
71,Georgia,0.78,73.4,15,12.8,9186,35,71,High
72,Saint Kittsand Nevis,0.778,74.4,14.4,8.4,23978,–19,72,High
73,Cuba,0.777,79.9,14,11.8,7524,43,72,High
74,Mexico,0.774,77.3,14.1,8.6,16944,–6,74,High
75,Grenada,0.772,73.8,16.9,8.7,12864,12,75,High
76,Sri Lanka,0.77,75.5,13.9,10.9,11326,19,76,High
77,Bosnia and Herzegovina,0.768,77.1,14.2,9.7,11716,16,77,High
78,Venezuela,0.761,74.7,14.3,10.3,10672,20,77,High
79,Brazil,0.759,75.7,15.4,7.8,13755,2,79,High
80,Azerbaijan,0.757,72.1,12.7,10.7,15600,–7,80,High
81,Lebanon,0.757,79.8,12.5,8.7,13378,3,82,High
82,North Macedonia,0.757,75.9,13.3,9.6,12505,9,81,High
83,Armenia,0.755,74.8,13,11.7,9144,24,84,High
83,Thailand,0.755,75.5,14.7,7.6,15516,–7,86,High
85,Algeria,0.754,76.3,14.4,8,13802,–5,83,High
86,China,0.752,76.4,13.8,7.8,15270,–9,86,High
87,Ecuador,0.752,76.6,14.7,8.7,10347,15,84,High
88,Ukraine,0.751,72.1,15,11.3,8130,24,90,High
89,Peru,0.75,75.2,13.8,9.2,11789,3,86,High
90,Colombia,0.747,74.6,14.4,8.3,12938,–4,89,High
90,Saint Lucia,0.747,75.7,13.6,8.9,11695,4,91,High
92,Fiji,0.741,70.4,15.3,10.8,8324,18,93,High
92,Mongolia,0.741,69.5,15.5,10.1,10103,11,92,High
94,Dominican Republic,0.736,74,13.7,7.8,13921,–15,95,High
95,Jordan,0.735,74.5,13.1,10.4,8288,16,94,High
95,Tunisia,0.735,75.9,15.1,7.2,10275,7,96,High
97,Jamaica,0.732,76.1,13.1,9.8,7846,17,96,High
98,Tonga,0.726,73.2,14.3,11.2,5547,37,98,High
99,Saint Vincentand the Grenadines,0.723,73.3,13.3,8.6,10499,0,99,High
100,Suriname,0.72,71.5,12.7,8.5,13306,–16,100,High
101,Botswana,0.717,67.6,12.6,9.3,15534,–26,102,High
102,Maldives,0.717,77.6,12.6,6.3,13567,–19,102,High
103,Dominica,0.715,78,12.7,7.8,8344,6,101,High
104,Samoa,0.713,75.2,12.5,10.3,5909,24,104,High
105,Uzbekistan,0.71,71.4,12,11.5,6470,19,107,High
106,Belize,0.708,70.6,12.8,10.5,7166,14,105,High
107,MarshallIslands,0.708,73.6,13,10.9,5125,33,..,High
108,Libya,0.706,72.1,13.4,7.3,11100,–12,114,High
109,Turkmenistan,0.706,68,10.8,9.8,15594,–34,106,High
110,Gabon,0.702,66.5,12.8,8.2,16431,–40,109,High
110,Paraguay,0.702,73.2,12.7,8.4,8380,–2,108,High
112,Moldova,0.7,71.7,11.6,11.6,5554,22,110,High
113,Philippines,0.699,69.2,12.6,9.3,9154,–7,111,Medium
113,South Africa,0.699,63.4,13.3,10.1,11923,–23,111,Medium
115,Egypt,0.696,71.7,13.1,7.2,10355,–15,113,Medium
116,Indonesia,0.694,69.4,12.8,8,10846,–19,115,Medium
116,Viet Nam,0.694,76.5,12.7,8.2,5859,14,116,Medium
118,Bolivia,0.693,69.5,14,8.9,6714,5,116,Medium
119,"Palestine, State of",0.686,73.6,12.8,9.1,5055,21,116,Medium
120,Iraq,0.685,70,11,6.8,17789,–53,120,Medium
121,El Salvador,0.674,73.8,12.6,6.9,6868,0,119,Medium
122,Kyrgyzstan,0.672,71.1,13.4,10.9,3255,32,121,Medium
123,Morocco,0.667,76.1,12.4,5.5,7340,–5,122,Medium
124,Nicaragua,0.658,75.7,12.1,6.7,5157,14,123,Medium
125,Cape Verde,0.654,73,12.6,6.1,5983,2,124,Medium
125,Guyana,0.654,66.8,11.4,8.4,7447,–8,124,Medium
127,Guatemala,0.65,73.7,10.8,6.5,7278,–8,126,Medium
128,Tajikistan,0.65,71.2,11.2,10.4,3317,25,127,Medium
129,Namibia,0.647,64.9,12.3,6.8,9387,–25,128,Medium
130,India,0.64,68.8,12.3,6.4,6353,–5,129,Medium
131,Micronesia (Federated States of),0.627,69.3,11.7,8,3843,13,131,Medium
132,Timor-Leste,0.625,69.2,12.8,4.5,6846,–10,130,Medium
133,Honduras,0.617,73.8,10.2,6.5,4215,8,132,Medium
134,Bhutan,0.612,70.6,12.3,3.1,8065,–21,135,Medium
135,Kiribati,0.612,66.5,12.9,7.9,3042,22,134,Medium
136,Bangladesh,0.608,72.8,11.4,5.8,3677,9,138,Medium
137,Congo,0.606,65.1,11.4,6.3,5694,–5,133,Medium
138,Vanuatu,0.603,72.3,10.9,6.8,2995,19,136,Medium
139,Lao People's Democratic Republic,0.601,67,11.2,5.2,6070,–13,137,Medium
140,Ghana,0.592,63,11.6,7.1,4096,3,140,Medium
141,Equatorial Guinea,0.591,57.9,9.3,5.5,19513,–80,139,Medium
142,Kenya,0.59,67.3,12.1,6.5,2961,16,143,Medium
143,Sao Tome and Principe,0.589,66.8,12.5,6.3,2941,16,144,Medium
144,Eswatini,0.588,58.3,11.2,6.5,7620,–29,141,Medium
145,Zambia,0.588,62.3,12.5,7,3557,3,141,Medium
146,Cambodia,0.582,69.3,11.7,4.8,3413,3,146,Medium
147,Angola,0.581,61.8,11.8,5.1,5790,–16,145,Medium
148,Myanmar,0.578,66.7,10,4.9,5567,–15,147,Medium
149,Nepal,0.574,70.6,12.2,4.9,2471,12,148,Medium
150,Pakistan,0.562,66.6,8.6,5.2,5311,–14,149,Medium
151,Cameroon,0.556,58.6,12.2,6.3,3315,2,150,Medium
152,Solomon Islands,0.546,71,10.2,5.5,1872,15,151,Low
153,Papua New Guinea,0.544,65.7,10,4.6,3403,–3,151,Low
154,"Tanzania, United Republic of",0.538,66.3,8.9,5.8,2655,6,154,Low
155,Syrian Arab Republic,0.536,71,8.8,5.1,2337,8,153,Low
156,Zimbabwe,0.535,61.7,10.3,8.1,1683,17,155,Low
157,Nigeria,0.532,53.9,10,6.2,5231,–20,156,Low
158,Rwanda,0.524,67.5,11.2,4.1,1811,11,157,Low
159,Lesotho,0.52,54.6,10.6,6.3,3255,–4,159,Low
160,Mauritania,0.52,63.4,8.6,4.5,3592,–13,159,Low
161,Madagascar,0.519,66.3,10.6,6.1,1358,20,158,Low
162,Uganda,0.516,60.2,11.6,6.1,1658,13,162,Low
163,Benin,0.515,61.2,12.6,3.6,2061,2,161,Low
164,Senegal,0.505,67.5,9.7,3,2384,–2,165,Low
165,Comoros,0.503,63.9,11.2,4.8,1399,15,163,Low
166,Togo,0.503,60.5,12.4,4.8,1453,14,164,Low
167,Sudan,0.502,64.7,7.4,3.7,4119,–25,165,Low
168,Afghanistan,0.498,64,10.4,3.8,1824,0,168,Low
169,Haiti,0.498,63.6,9.3,5.3,1665,6,167,Low
170,Côted'Ivoire,0.492,54.1,9,5.2,3481,–22,169,Low
171,Malawi,0.477,63.7,10.8,4.5,1064,14,170,Low
172,Djibouti,0.476,62.6,6.2,4.1,3392,–21,170,Low
173,Ethiopia,0.463,65.9,8.5,2.7,1719,–1,173,Low
174,The Republic of the Gambia,0.46,61.4,9.2,3.5,1516,4,173,Low
175,Guinea,0.459,60.6,9.1,2.6,2067,–11,177,Low
176,"Congo, Democratic People Republic of",0.457,60,9.8,6.8,796,12,176,Low
177,Guinea-Bissau,0.455,57.8,10.5,3,1552,0,175,Low
178,Yemen,0.452,65.2,9,3,1239,5,172,Low
179,Eritrea,0.44,65.5,5.4,4,1750,–9,178,Low
180,Mozambique,0.437,58.9,9.7,3.5,1093,4,179,Low
181,Liberia,0.435,63,10,4.7,667,9,180,Low
182,Mali,0.427,58.5,7.7,2.3,1953,–16,181,Low
183,Burkina Faso,0.423,60.8,8.5,1.5,1650,–7,182,Low
184,Sierra Leone,0.419,52.2,9.8,3.5,1240,–2,184,Low
185,Burundi,0.417,57.9,11.7,3,702,4,183,Low
186,Chad,0.404,53.2,8,2.3,1750,–15,185,Low
187,South Sudan,0.388,57.3,4.9,4.8,963,–1,186,Low
188,Central African Republic,0.367,52.9,7.2,4.3,663,3,187,Low
189,Niger,0.354,60.4,5.4,2,906,–2,188,Low
no_rank,Arab States,0.699,71.5,11.9,7,15837,,,
no_rank,East Asia and the Pacific,0.733,74.7,13.3,7.9,13688,,,
no_rank,Europe and Central Asia,0.771,73.4,14.1,10.3,15331,,,
no_rank,Latin America and the Caribbean,0.758,75.7,14.4,8.5,13671,,,
no_rank,South Asia,0.638,69.3,11.9,6.4,6473,,,
no_rank,Sub-Saharan Africa,0.537,60.7,10.1,5.6,3399,,,
no_rank,Total,0.728,72.2,12.7,8.4,15295,,,
