IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,11.12,,,7.19,,16.8,11.1 [7.2-16.8],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,11.34,,,9.52,,13.15,11.3 [9.5-13.2],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,11.44,,,7.53,,17,11.4 [7.5-17.0],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,11.48,,,8.09,,16.04,11.5 [8.1-16.0],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,11.70,,,10.04,,13.37,11.7 [10.0-13.4],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,11.87,,,8.43,,16.44,11.9 [8.4-16.4],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.00,,,9.45,,14.55,12.0 [9.5-14.5],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.13,,,8.66,,16.73,12.1 [8.7-16.7],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,CHN,China,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.19,,,8.45,,17.27,12.2 [8.5-17.3],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.58,,,8.73,,17.71,12.6 [8.7-17.7],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.60,,,9.67,,16.26,12.6 [9.7-16.3],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.83,,,9.79,,16.62,12.8 [9.8-16.6],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,12.99,,,11.3,,14.68,13.0 [11.3-14.7],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.14,,,9.15,,18.5,13.1 [9.2-18.5],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.30,,,9.15,,18.92,13.3 [9.2-18.9],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.25,,,9.5,,18.16,13.3 [9.5-18.2],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.40,,,11.21,,15.58,13.4 [11.2-15.6],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AMR,Americas,Country,DMA,Dominica,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.45,,,9.91,,17.98,13.4 [9.9-18.0],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.50,,,9.52,,18.78,13.5 [9.5-18.8],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,BEN,Benin,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.61,,,10.47,,17.49,13.6 [10.5-17.5],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,BLR,Belarus,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.68,,,9.84,,18.69,13.7 [9.8-18.7],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.77,,,11.65,,15.88,13.8 [11.6-15.9],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.93,,,11.84,,16.01,13.9 [11.8-16.0],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,13.88,,,9.13,,20.49,13.9 [9.1-20.5],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,BLR,Belarus,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.08,,,9.99,,19.47,14.1 [10.0-19.5],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,CHN,China,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.11,,,10.1,,19.37,14.1 [10.1-19.4],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.09,,,10.62,,18.44,14.1 [10.6-18.4],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,COM,Comoros,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.32,,,10.75,,17.88,14.3 [10.7-17.9],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.29,,,10.76,,18.71,14.3 [10.8-18.7],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.31,,,10.91,,18.54,14.3 [10.9-18.5],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,BLR,Belarus,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.42,,,10.12,,20.11,14.4 [10.1-20.1],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,GIN,Guinea,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.50,,,10.82,,19.14,14.5 [10.8-19.1],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.56,,,11.07,,18.88,14.6 [11.1-18.9],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.61,,,12.74,,16.49,14.6 [12.7-16.5],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.80,,,9.67,,21.94,14.8 [9.7-21.9],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,14.86,,,12.1,,17.61,14.9 [12.1-17.6],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,15.44,,,13.08,,17.79,15.4 [13.1-17.8],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,15.47,,,11.67,,20.16,15.5 [11.7-20.2],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,MWI,Malawi,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,15.61,,,13.33,,17.88,15.6 [13.3-17.9],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,BEN,Benin,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,15.89,,,12.1,,20.57,15.9 [12.1-20.6],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,15.94,,,12.09,,20.71,15.9 [12.1-20.7],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,CHN,China,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,15.96,,,11.69,,21.4,16.0 [11.7-21.4],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,GMB,Gambia,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,15.98,,,12.04,,20.89,16.0 [12.0-20.9],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,FIN,Finland,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,15.96,,,12.18,,20.62,16.0 [12.2-20.6],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,16.13,,,9.72,,22.53,16.1 [9.7-22.5],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,16.27,,,12.28,,20.25,16.3 [12.3-20.3],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,16.55,,,12.44,,20.67,16.6 [12.4-20.7],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,FIN,Finland,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,16.56,,,12.87,,21.04,16.6 [12.9-21.0],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,16.74,,,10.92,,24.77,16.7 [10.9-24.8],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,16.93,,,14.31,,19.54,16.9 [14.3-19.5],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.12,,,12.42,,21.83,17.1 [12.4-21.8],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,BWA,Botswana,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.11,,,13.29,,21.75,17.1 [13.3-21.7],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.19,,,11.86,,24.24,17.2 [11.9-24.2],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.17,,,13.18,,22.03,17.2 [13.2-22.0],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,FIN,Finland,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.19,,,13.59,,21.49,17.2 [13.6-21.5],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,GEO,Georgia,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.25,,,12.62,,23.1,17.3 [12.6-23.1],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.39,,,12.43,,23.63,17.4 [12.4-23.6],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2016,true,Sex,Both sexes,SEX_BTSX,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.41,,,12.52,,23.62,17.4 [12.5-23.6],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.54,,,12.69,,23.72,17.5 [12.7-23.7],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.60,,,12.41,,22.79,17.6 [12.4-22.8],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,true,Sex,Female,SEX_FMLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.58,,,13.44,,22.66,17.6 [13.4-22.7],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.56,,,14.73,,20.39,17.6 [14.7-20.4],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,GAB,Gabon,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.67,,,12.59,,24.21,17.7 [12.6-24.2],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.74,,,13.12,,22.37,17.7 [13.1-22.4],,,EN,2018-09-13 00:00:00
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,SYC,Seychelles,Year,2016,true,Sex,Male,SEX_MLE,Age Group,18+  years,AGEGROUP_YEARS18-PLUS,,,,,,,17.70,,,13.21,,23.28,17.7 [13.2-23.3],,,EN,2018-09-13 00:00:00
